traffic_id,date,hour,route_id,track_occupancy_pct,section_utilization_pct,average_delay_min,traffic_status
TRF024-10,2026-09-05,10,R024,62,59,3,Normal
TRF024-12,2026-09-05,12,R024,64,95,7,Normal
TRF024-14,2026-09-05,14,R024,39,66,7,Normal
TRF024-16,2026-09-05,16,R024,51,58,9,Normal
TRF024-18,2026-09-05,18,R024,76,55,9,Busy
TRF024-20,2026-09-05,20,R024,67,71,7,Normal
TRF024-22,2026-09-05,22,R024,52,76,4,Normal
TRF025-6,2026-09-05,6,R025,58,66,11,Normal
TRF025-8,2026-09-05,8,R025,75,86,5,Busy
TRF025-10,2026-09-05,10,R025,61,73,6,Normal
TRF025-12,2026-09-05,12,R025,58,82,7,Normal
TRF025-14,2026-09-05,14,R025,45,69,6,Normal
TRF025-16,2026-09-05,16,R025,54,69,4,Normal
TRF025-18,2026-09-05,18,R025,65,74,6,Busy
TRF025-20,2026-09-05,20,R025,39,77,8,Normal
TRF025-22,2026-09-05,22,R025,52,56,9,Normal
TRF026-6,2026-09-05,6,R026,63,93,8,Normal
TRF026-8,2026-09-05,8,R026,83,68,9,Busy
TRF026-10,2026-09-05,10,R026,65,82,6,Normal
TRF026-12,2026-09-05,12,R026,57,65,9,Normal
TRF026-14,2026-09-05,14,R026,71,65,7,Normal
TRF026-16,2026-09-05,16,R026,63,67,9,Normal
TRF026-18,2026-09-05,18,R026,65,61,6,Busy
TRF026-20,2026-09-05,20,R026,44,60,6,Normal
TRF026-22,2026-09-05,22,R026,59,81,7,Normal
