availability_id,date,route_id,time_window,daily_capacity,available_slots,committed_slots,availability_status,data_status
CA-008-21,2026-09-05,R008,21:00-00:00,160,27,133,Constrained,Synthetic planning data
CA-009-06,2026-09-05,R009,06:00-09:00,160,44,116,Available,Synthetic planning data
CA-009-09,2026-09-05,R009,09:00-12:00,160,30,130,Constrained,Synthetic planning data
CA-009-12,2026-09-05,R009,12:00-15:00,160,28,132,Constrained,Synthetic planning data
CA-009-15,2026-09-05,R009,15:00-18:00,160,50,110,Available,Synthetic planning data
CA-009-18,2026-09-05,R009,18:00-21:00,160,35,125,Available,Synthetic planning data
CA-009-21,2026-09-05,R009,21:00-00:00,160,21,139,Constrained,Synthetic planning data
CA-010-06,2026-09-05,R010,06:00-09:00,160,36,124,Available,Synthetic planning data
CA-010-09,2026-09-05,R010,09:00-12:00,160,35,125,Available,Synthetic planning data
CA-010-12,2026-09-05,R010,12:00-15:00,160,48,112,Available,Synthetic planning data
CA-010-15,2026-09-05,R010,15:00-18:00,160,43,117,Available,Synthetic planning data
CA-010-18,2026-09-05,R010,18:00-21:00,160,26,134,Constrained,Synthetic planning data
CA-010-21,2026-09-05,R010,21:00-00:00,160,24,136,Constrained,Synthetic planning data
CA-011-06,2026-09-05,R011,06:00-09:00,130,32,98,Available,Synthetic planning data
CA-011-09,2026-09-05,R011,09:00-12:00,130,17,113,Constrained,Synthetic planning data
CA-011-12,2026-09-05,R011,12:00-15:00,130,24,106,Constrained,Synthetic planning data
CA-011-15,2026-09-05,R011,15:00-18:00,130,19,111,Constrained,Synthetic planning data
CA-011-18,2026-09-05,R011,18:00-21:00,130,16,114,Constrained,Synthetic planning data
CA-011-21,2026-09-05,R011,21:00-00:00,130,40,90,Available,Synthetic planning data
CA-012-06,2026-09-05,R012,06:00-09:00,130,18,112,Constrained,Synthetic planning data
CA-012-09,2026-09-05,R012,09:00-12:00,130,16,114,Constrained,Synthetic planning data
CA-012-12,2026-09-05,R012,12:00-15:00,130,41,89,Available,Synthetic planning data
CA-012-15,2026-09-05,R012,15:00-18:00,130,21,109,Constrained,Synthetic planning data
CA-012-18,2026-09-05,R012,18:00-21:00,130,38,92,Available,Synthetic planning data
CA-012-21,2026-09-05,R012,21:00-00:00,130,16,114,Constrained,Synthetic planning data
CA-013-06,2026-09-05,R013,06:00-09:00,130,20,110,Constrained,Synthetic planning data
CA-013-09,2026-09-05,R013,09:00-12:00,130,18,112,Constrained,Synthetic planning data
CA-013-12,2026-09-05,R013,12:00-15:00,130,35,95,Available,Synthetic planning data
CA-013-15,2026-09-05,R013,15:00-18:00,130,32,98,Available,Synthetic planning data
CA-013-18,2026-09-05,R013,18:00-21:00,130,28,102,Available,Synthetic planning data
CA-013-21,2026-09-05,R013,21:00-00:00,130,22,108,Constrained,Synthetic planning data
CA-014-06,2026-09-05,R014,06:00-09:00,130,18,112,Constrained,Synthetic planning data
CA-014-09,2026-09-05,R014,09:00-12:00,130,31,99,Available,Synthetic planning data
CA-014-12,2026-09-05,R014,12:00-15:00,130,22,108,Constrained,Synthetic planning data
CA-014-15,2026-09-05,R014,15:00-18:00,130,31,99,Available,Synthetic planning data
CA-014-18,2026-09-05,R014,18:00-21:00,130,34,96,Available,Synthetic planning data
CA-014-21,2026-09-05,R014,21:00-00:00,130,38,92,Available,Synthetic planning data
CA-015-06,2026-09-05,R015,06:00-09:00,130,29,101,Available,Synthetic planning data
CA-015-09,2026-09-05,R015,09:00-12:00,130,16,114,Constrained,Synthetic planning data
CA-015-12,2026-09-05,R015,12:00-15:00,130,23,107,Constrained,Synthetic planning data
CA-015-15,2026-09-05,R015,15:00-18:00,130,39,91,Available,Synthetic planning data
CA-015-18,2026-09-05,R015,18:00-21:00,130,30,100,Available,Synthetic planning data
CA-015-21,2026-09-05,R015,21:00-00:00,130,32,98,Available,Synthetic planning data
CA-016-06,2026-09-05,R016,06:00-09:00,130,28,102,Available,Synthetic planning data
CA-016-09,2026-09-05,R016,09:00-12:00,130,20,110,Constrained,Synthetic planning data
CA-016-12,2026-09-05,R016,12:00-15:00,130,40,90,Available,Synthetic planning data
CA-016-15,2026-09-05,R016,15:00-18:00,130,36,94,Available,Synthetic planning data
CA-016-18,2026-09-05,R016,18:00-21:00,130,42,88,Available,Synthetic planning data
CA-016-21,2026-09-05,R016,21:00-00:00,130,39,91,Available,Synthetic planning data
CA-017-06,2026-09-05,R017,06:00-09:00,130,23,107,Constrained,Synthetic planning data
CA-017-09,2026-09-05,R017,09:00-12:00,130,22,108,Constrained,Synthetic planning data
CA-017-12,2026-09-05,R017,12:00-15:00,130,22,108,Constrained,Synthetic planning data
CA-017-15,2026-09-05,R017,15:00-18:00,130,40,90,Available,Synthetic planning data
CA-017-18,2026-09-05,R017,18:00-21:00,130,31,99,Available,Synthetic planning data
CA-017-21,2026-09-05,R017,21:00-00:00,130,28,102,Available,Synthetic planning data
CA-018-06,2026-09-05,R018,06:00-09:00,130,42,88,Available,Synthetic planning data
CA-018-09,2026-09-05,R018,09:00-12:00,130,32,98,Available,Synthetic planning data
CA-018-12,2026-09-05,R018,12:00-15:00,130,40,90,Available,Synthetic planning data
CA-018-15,2026-09-05,R018,15:00-18:00,130,42,88,Available,Synthetic planning data
CA-018-18,2026-09-05,R018,18:00-21:00,130,18,112,Constrained,Synthetic planning data
CA-018-21,2026-09-05,R018,21:00-00:00,130,25,105,Constrained,Synthetic planning data
CA-019-06,2026-09-05,R019,06:00-09:00,130,35,95,Available,Synthetic planning data
CA-019-09,2026-09-05,R019,09:00-12:00,130,37,93,Available,Synthetic planning data
CA-019-12,2026-09-05,R019,12:00-15:00,130,20,110,Constrained,Synthetic planning data
CA-019-15,2026-09-05,R019,15:00-18:00,130,24,106,Constrained,Synthetic planning data
CA-019-18,2026-09-05,R019,18:00-21:00,130,30,100,Available,Synthetic planning data
CA-019-21,2026-09-05,R019,21:00-00:00,130,37,93,Available,Synthetic planning data
CA-020-06,2026-09-05,R020,06:00-09:00,130,19,111,Constrained,Synthetic planning data
CA-020-09,2026-09-05,R020,09:00-12:00,130,32,98,Available,Synthetic planning data
CA-020-12,2026-09-05,R020,12:00-15:00,130,24,106,Constrained,Synthetic planning data
CA-020-15,2026-09-05,R020,15:00-18:00,130,21,109,Constrained,Synthetic planning data
CA-020-18,2026-09-05,R020,18:00-21:00,130,29,101,Available,Synthetic planning data
CA-020-21,2026-09-05,R020,21:00-00:00,130,27,103,Available,Synthetic planning data
CA-021-06,2026-09-05,R021,06:00-09:00,130,33,97,Available,Synthetic planning data
CA-021-09,2026-09-05,R021,09:00-12:00,130,24,106,Constrained,Synthetic planning data
CA-021-12,2026-09-05,R021,12:00-15:00,130,38,92,Available,Synthetic planning data
CA-021-15,2026-09-05,R021,15:00-18:00,130,18,112,Constrained,Synthetic planning data
CA-021-18,2026-09-05,R021,18:00-21:00,130,39,91,Available,Synthetic planning data
CA-021-21,2026-09-05,R021,21:00-00:00,130,16,114,Constrained,Synthetic planning data
CA-022-06,2026-09-05,R022,06:00-09:00,130,35,95,Available,Synthetic planning data
CA-022-09,2026-09-05,R022,09:00-12:00,130,25,105,Constrained,Synthetic planning data
CA-022-12,2026-09-05,R022,12:00-15:00,130,26,104,Available,Synthetic planning data
CA-022-15,2026-09-05,R022,15:00-18:00,130,16,114,Constrained,Synthetic planning data
CA-022-18,2026-09-05,R022,18:00-21:00,130,34,96,Available,Synthetic planning data
CA-022-21,2026-09-05,R022,21:00-00:00,130,20,110,Constrained,Synthetic planning data
CA-023-06,2026-09-05,R023,06:00-09:00,130,33,97,Available,Synthetic planning data
CA-023-09,2026-09-05,R023,09:00-12:00,130,35,95,Available,Synthetic planning data
CA-023-12,2026-09-05,R023,12:00-15:00,130,38,92,Available,Synthetic planning data
CA-023-15,2026-09-05,R023,15:00-18:00,130,35,95,Available,Synthetic planning data
CA-023-18,2026-09-05,R023,18:00-21:00,130,24,106,Constrained,Synthetic planning data
CA-023-21,2026-09-05,R023,21:00-00:00,130,35,95,Available,Synthetic planning data
CA-024-06,2026-09-05,R024,06:00-09:00,130,38,92,Available,Synthetic planning data
CA-024-09,2026-09-05,R024,09:00-12:00,130,24,106,Constrained,Synthetic planning data
CA-024-12,2026-09-05,R024,12:00-15:00,130,19,111,Constrained,Synthetic planning data
CA-024-15,2026-09-05,R024,15:00-18:00,130,40,90,Available,Synthetic planning data
CA-024-18,2026-09-05,R024,18:00-21:00,130,19,111,Constrained,Synthetic planning data
CA-024-21,2026-09-05,R024,21:00-00:00,130,32,98,Available,Synthetic planning data
CA-025-06,2026-09-05,R025,06:00-09:00,120,20,100,Constrained,Synthetic planning data
CA-025-09,2026-09-05,R025,09:00-12:00,120,18,102,Constrained,Synthetic planning data
CA-025-12,2026-09-05,R025,12:00-15:00,120,34,86,Available,Synthetic planning data
CA-025-15,2026-09-05,R025,15:00-18:00,120,18,102,Constrained,Synthetic planning data
CA-025-18,2026-09-05,R025,18:00-21:00,120,31,89,Available,Synthetic planning data
CA-025-21,2026-09-05,R025,21:00-00:00,120,32,88,Available,Synthetic planning data
CA-026-06,2026-09-05,R026,06:00-09:00,120,16,104,Constrained,Synthetic planning data
CA-026-09,2026-09-05,R026,09:00-12:00,120,19,101,Constrained,Synthetic planning data
CA-026-12,2026-09-05,R026,12:00-15:00,120,34,86,Available,Synthetic planning data
CA-026-15,2026-09-05,R026,15:00-18:00,120,27,93,Available,Synthetic planning data
CA-026-18,2026-09-05,R026,18:00-21:00,120,18,102,Constrained,Synthetic planning data
CA-026-21,2026-09-05,R026,21:00-00:00,120,39,81,Available,Synthetic planning data
